epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.822,1.22854,3.75391,1.66316,0.00608,1,0.21589,0.12914,0.96385,4.23805,1.6222,0.0002001,0.0002001,0.0002001
2,330.906,1.12406,3.36125,1.56892,0.00924,1,0.23487,0.14708,1.19385,4.01423,1.81281,0.000401835,0.000401835,0.000401835
3,494.356,1.1724,3.07101,1.56635,0.57787,0.34045,0.34395,0.19622,1.37111,3.48128,2.16653,0.000598452,0.000598452,0.000598452
4,645.194,1.2343,2.78887,1.63955,0.64636,0.40869,0.4365,0.24783,1.50891,3.7622,2.37514,0.000642238,0.000642238,0.000642238
5,798.248,1.20417,2.60471,1.58938,0.52991,0.50607,0.48586,0.28581,1.35667,3.19622,2.01247,0.000633983,0.000633983,0.000633983
6,952.057,1.19138,2.42784,1.6064,0.57073,0.67925,0.57541,0.38665,1.34894,4.21053,1.97217,0.000625729,0.000625729,0.000625729
7,1103.89,1.19085,2.30309,1.56868,0.51403,0.52996,0.53745,0.34501,1.32612,3.07534,1.98713,0.000617475,0.000617475,0.000617475
8,1271.88,1.14143,2.12664,1.52492,0.48209,0.80983,0.69499,0.4296,1.41423,2.6101,2.04522,0.000609221,0.000609221,0.000609221
9,1441.52,1.10904,2.03564,1.51225,0.34484,0.79745,0.64728,0.41103,1.31635,3.281,1.98608,0.000600967,0.000600967,0.000600967
10,1598.34,1.10055,1.93488,1.47016,0.51657,0.67814,0.6644,0.41678,1.27251,2.71879,1.87648,0.000592713,0.000592713,0.000592713
11,1765.56,1.03451,1.88059,1.44286,0.81204,0.59523,0.79178,0.40056,1.58639,2.35021,2.08678,0.000584459,0.000584459,0.000584459
12,1922.97,1.05959,1.77951,1.45761,0.77009,0.44454,0.68655,0.41741,1.30184,2.55307,1.96331,0.000576205,0.000576205,0.000576205
13,2082.65,1.05988,1.79417,1.46469,0.5858,0.73225,0.73803,0.46023,1.2603,2.25035,1.84554,0.00056795,0.00056795,0.00056795
14,2247.12,1.01885,1.66455,1.42947,0.57716,0.77587,0.80227,0.48971,1.3451,2.46985,1.93914,0.000559696,0.000559696,0.000559696
15,2415.22,1.0437,1.65761,1.46141,0.58041,0.73925,0.76108,0.46903,1.33384,2.29775,1.89458,0.000551442,0.000551442,0.000551442
16,2576.72,1.0309,1.67642,1.43091,0.71777,0.75225,0.80952,0.49055,1.33305,2.12016,1.9146,0.000543188,0.000543188,0.000543188
17,2737.31,1.03668,1.66052,1.43186,0.55907,0.76087,0.72559,0.4561,1.29247,2.42274,1.85092,0.000534934,0.000534934,0.000534934
